Date/Time,Idea ID,Idea Number,Stage,Author,Campaign,Campaign Group,Total Votes,Vote Up,Vote Down,Comments,Title,Details,Tags,URL,Attachments,Owner,Contributors,Latitude,Longitude,Team,Reviewscale,Estimate ROI,Pairwise Win %,Fund Collected %,Last Stage Change,Private,Requested funds (not required) - Amount requested should be in ada. No fractions please,Detailed plan (not required) - Fill in here any additional details,Proposal summary.  What do you hope to get done?  Please seek clarity rather than impressiveness ,Relevant experience.  What work related to your proposed project have you or your team done so far and when did you start?,Website/GitHub repository (not required)
18/Aug/20 9:48 PM,317202,185,Discuss,Mercy,Fund1 Challenge,Previous funds,0,0,0,3,AfroFinLab Podcast ,Many of us claim that a higher mission brought us to blockchain. Current Crypto podcasts however does not yet reflect that,"podcast,education,africa,crypto,cardarno,awareness",http://ideascale.com/t/UM5UZBYPC,"https://cardano.ideascale.com/a/idea/317202/30988/download, https://cardano.ideascale.com/a/idea/317202/31275/download",,no contributors,,,,0.00,0%,0%,0%,13/Sep/20,false,"110,000 ADA","With the AfroFinLab Podcast, we strive to ensure that Cardano delivers on its mission of decentralization and pushing power to the margins. Not only do we believe that Cardano will contribute to long overdue solutions to problems facing Africans, but that in doing so, we firmly believe that these solutions will serve as a guiding example to all people of what Cardano can do.

The AfroFinLab Podcast combines philosophical discussions with real investigations about how all people can adopt and use Cardano-based technology.

For our audience, we have two groups in mind: people who are already engaged with blockchain/Cardano and people who are new to the space. For people who are already part of the blockchain/Cardano ecosystem, we aim to discuss the big picture: how do we accomplish the goals of decentralization and of pushing power to margins? What would it mean for Cardano's projects in Africa to be successful? How can all community members contribute?

We also seek to educate newcomers to the space by sharing an overview of what is possible and discussing some of the fundamentals of blockchain and in particular Cardano.

In weekly episodes we will focus on two recurring themes:

1\. High level philosophical discussions about the value of Cardano and the problems it might help to solve.

2\. Real-time interaction with new technologies: for example, live and in real time, collaborating on the writing of a Plutus smart contract that puts in code some of the informal agreements we've made as co-hosts. We hope for this approach to allow all audience members to feel like they too could adopt this technology in response to their own challenges.

Website coming soon - secured our domain names last night","The AfroFinLab Podcast is a collaboration between community members seeking to deliver on the promises of Cardano, especially in Africa.","We have recorded our first two episodes already, featuring one Cardano Ambassador and three members of Project Catalyst",
18/Aug/20 8:10 PM,317191,183,Discuss,MariaCarmo369,Fund1 Challenge,Previous funds,0,0,0,18,The woman effect,"I would love to support woman in block-chain as it is very few of us. A podcast made by woman to the community.

Cardano that make sense.","advertising,cardano,community,creator,podcast,woman",http://ideascale.com/t/UM5UZBYO1,NO,,no contributors,,,,0.00,0%,0%,0%,13/Sep/20,false,71.400,"We would need:

Zoom (Recorded Sections)

Art Channel (intro and outro, thumbnails )

Website Domain + host

Software for editing audio and video

Cameras

Microphones

Lightning

Host for audio to post on spotify and more platforms

We would have 2 or 3 hosts

Every week 3 hours work (per participant) searching, preparing, presenting and editing $20.00 per hour

Idea Details

• 1. Auditability - What details are missing about the proposers, the plan and/or usage of funds to help reviewers accurately assess this proposal?

How to judge our success:

Every month we will deliver a report stating the following:

1\. Send of a spreadsheet with the work delivered with data as below

2\. No. of subscribers of ""Women Effect""

3\. Views per video of ""Women Effect""

4\. Likes per video of ""Women Effect""

5\. Duration of each video of ""Women Effect""

6\. No. of members in Telegram group ""Cardano for Everyone""

More about the team:

Maria: I am an Educator, Cardano Ambassador, Cardano Portuguese official Telegram Mediator, SPO and also run my own channel on YouTube in Portuguese. I´ve learn who scary can this environment be and I think we could attract people bring on different perspectives how to approach the subjects.

My experience in YouTube shows we also need someone who know a bit SEO search engine optimization to attract more and more subscribers. In my journey I learn who to use premiere to edit videos and sometimes I also use Camtasia screem recorder.

In Cardano since Jun/2020 and my Stake pool have less than a month. CARD´s has 2.3 million Adas with 88 delegators. I´ve been talking a lot about Cardano but also about democracy, education, financial freedom and manipulation of information. And the only piece of work I translate as a Ambassador was Charles Interviews as people related to it more than high core IT stuff

OBS: Anything we do in this podcast could be easily replicated in Portuguese or Hindi as it is our 2 mother tongue. (The only cost affected is the production time as we would have all necessary tools)

Shweta: An Indian woman working in Denmark who wants to change the world

• I'm the first woman stake pool operator on Shelley

• Creator of ""Ladies of Cardano""-A safe place for women to discuss Cardano where no question is a silly questionhttps://t.me/CardanoWomen

• Supporting existing and aspiring woman stake pool operators with technical and non-technical queries

• Operator of kBLOCKs stake pool

• Technical Lead at Accenture Denmark

• SPOCRA candidate

Plan:

Purpose: ""Cardano that makes sense to everyone""

• Women Effect: A pod cast made by women to the community

• Cardano for Everyone: A Telegram group for everyone who is interested in Cardano

Topics: We would focus on communicating:

• How easy Plutus & Marlowe is to learn

• Benefits of learning them

• How anyone can build Dapps using these languages

The idea is to make it understandable to masses especially women as we really need to tap into additional 50% of the population

Target Audience: Anyone interested in learning Dapps

Frequency: 1 podcast per week

Duration: 30 mins

No. of Episodes: 25

Usage of Funds:

1\. Labour Cost

Resource Role Hours/week Rate ($)/hour Total Rate ($) Duration (in weeks) Total Price ($)

1 Researcher and Presenter 5 20 100 25 2500

2 Editor and Social Media Manager 5 20 100 25 2500

Total price of resources $ 5000

2\. Non-Labour Costs

S.No. Item Quantity Rate ($)/item Total Rate

1 Zoom (Recorded Sections) 2 17 34

2 Art Channel (intro, outro, thumbnails) 1 50 50

3 Website Domain 1 20 20

4 Website Hosting (per month) 6 7 42

5 Software for editing audio and video 1 74 74

6 Cameras 2 785 1570

7 Recorder 2 187 374

8 Lightning 2 40 80

9 Host for audio to post on Spotify 1 10 10

10 Marketing 1 600 600

VidIQ\* 1 49 month

Buddy tube\* 1 19,00 month

Total Cost 2854

\*not included in the final budget as it is good to have but not essencial

FINAL COST= $5000 + $2854 = $7854

• 2. Impact - How do you think this proposal can better address the challenge: How can we encourage developers and entrepreneurs to build Dapps and businesses on top of Cardano in the next 6 months?

Below is the brief summary of our thoughts. Hopefully this will help!

Episode #1:

• Maria and Shweta will talk about ""What is Cardano"" in a non-technical language

• Tell viewers about their journey on how they come from a humble background but now have become an essential part of Cardano (This is to make the viewers, especially women, connect with them)

• Motivate them to become a part of Cardano by highlighting its vision and benefits

Episode #2:

• Maria and Shweta will continue the discussion on Cardano

• Tell the viewers about other women Stake Pool operators to motivate them

• Introduce Plutus & Marlowe languages to users

• Educate the users how they can use these languages to create Dapps

• Make them understand the benefits and how they can earn passive income by creating Dapps

Episode #3:

• Have a guest proficient in Plutus & Marlowe languages

• Guest will show the users briefly on how to use Plutus & Marlowe languages

• Provide links to courses of Plutus & Marlowe languages

Episode #4:

• Current news of Cardano

• Voting system using Cardano

Episode #5:

• Will decide the contents on the basis of response of viewers on first few episodes

• 3. Feasibility - What are ways in which this proposal's budget, plan, scope or team can be modified to make it more likely for the proposal to be successfully implemented?

• We would have 2 people in the team in the beginning

• One researches and presents the subject

• Second one edits and prepares the post on social media

• We start with recorded videos first and with engagement we can progress to LIVE sessions

• Each person would spend 5 hours a week between pre-production, production and final production videos on YouTube

• It would be 10 hours total

• For 6 months, the total labour cost would be $5000 plus non-labour cost of $2854

• Love for Cardano is essential but get paid to do something you love is a new game!

How to judge our success:

Every month we will deliver a report stating the following:

6 No. of subscribers of ""Women Effect""

7 Views per video of ""Women Effect""

8 Likes per video of ""Women Effect""

9 Duration of each video of ""Women Effect""

10 No. of members in Telegram group ""Cardano for Everyone""","4 pod cast would be delivered per month. One a week

Would to talk about Cardano with different perspective rather then just code. Real use",I have my own YouTube channel so I can bring this experience to the time plus I am an educator and a Cardano Ambassador,
18/Aug/20 6:14 PM,317173,181,Discuss,steven.j.moody,Fund1 Challenge,Previous funds,0,0,0,1,Proposal education channel/s,"We need to have public discussion, dissemination, and debate on the proposals.",,http://ideascale.com/t/UM5UZBYOj,NO,,no contributors,,,,0.00,0%,0%,0%,13/Sep/20,false,,,A YouTube or other channel/pod cast for covering proposals. I'm up for getting involved who's with me? Funding would help.,"Used to be an actor, improv comedy. I have thoughts too.",
18/Aug/20 9:50 AM,317128,179,Discuss,Boone Bergsma,Fund1 Challenge,Previous funds,0,0,0,12,ADA MakerSpace,"Educating developers about Plutus and Marlowe programming languages, and entrepreneurs about designing Smart Contracts for building Dapps","entrepreneurs,education",http://ideascale.com/t/UM5UZBYNz,https://cardano.ideascale.com/a/idea/317128/30955/download,,no contributors,,,,0.00,0%,0%,0%,13/Sep/20,false,100000,"Purpose:

Host a weekly online workshop about building with Plutus and Marlowe programming Languages to attract developers and ideas to the Cardano ecosystem.

  

Team:

Host/Entrepreneur in Residence, Boone Bergsma roles include web development of site for workshops and connecting developers and entrepreneurs with ideas to build. Work on marketing and outreach to bring in learners and ideas. Plan classes and find and schedule instructors.

Host/Educator in Residence, James Dunseith roles included curriculum development for more impactful workshops and continued learning opportunities. Work on marketing and outreach to bring in new learners and ideas. Plan classes and find and schedule instructors.

  

Timeline:

Episode 1 August 19th 2020, Ep.2 AUG 26th, Ep.3 SEPT 2nd, Ep.4 9th, Ep.5 16th, Ep.6 23rd, Ep.7 30th, Ep.8 OCT 7th

  

Budget:

$3000 a month for each Host ($6,000 month x 2 = $12000)

Bounties for Developers who teach a workshop $300 an episode((1hour) 8 Episodes x $300 = $2400))

Total requested from fund $14400

\+ additional Show Bounties $15k matching Grant requested which would be used for marketing efforts and administrative",Produce a weekly online workshop that anyone can attend for free to learn how to build Dapps on Cardano using Plutus and Marlowe,Built a site to host the workshops and promote the opportunity to the global community. Scheduled a developer to teach starting 8-19-2020,https://adamaker.space/
18/Aug/20 2:46 AM,317086,177,Discuss,Boone Bergsma,Fund1 Challenge,Previous funds,0,0,0,6,FORK fund1 $250k FAKE ADA into REAL,"Unrealistic Challenge presented to group, DEVs and entrepreneurs need funding now to reach the 6-month goal. Not in 2-4 months from now!","fund1,entrepreneurs,dapps",http://ideascale.com/t/UM5UZBYNI,NO,,no contributors,,,,0.00,0%,0%,0%,13/Sep/20,false,250000,"The Problem:

Unrealistic Challenge presented to the group, if Fund1 Challenge is ""How can we encourage developers and entrepreneurs to build Dapps and businesses on top of Cardano in the next 6 months?"" then DEVs and entrepreneurs need funding now not 2-4 months from now.

  

The Solution:

Turn the FAKE ADA awarded to Proposal in fund1 into REAL ADA that can incubate and accelerate the creation of Dapps and Businesses on top Cardano in the next 6 months. All Proposals on IdeaScape currently posted qualified for funding in fund1. (Vote YES or NO in the comments)

The funding available in fund1 will be disturbed: (Vote 1a or 2b or 3c in the comments)

1a: Funding distributed based on CLAPs a proposal has, $250k divided by total CLAPs. Every Project Catalyst IdeaScape Member has 1 CLAP to Vote with a day until 04/Sep/20.

2b: Funding distributed evenly across all Proposals(for example $10k for 25 Proposals equals $250k). At Fork Cardano/IOHK sets Total Funding (for example could be $1k to 25 Proposals).

3c: Only FAKE ADA given for fund1

  

Plan:

Please post you VOTE by commenting. Please don't share thoughts about this proposal or other ways we could do it, please just VOTE based on the above presented. This is a survey and may or may not influence Cardano's decision on funding in fund1. Your participation is very much appreciated :) Thank you for your time!!!",Accomplish the goal of building Dapps and Businesses on top of Cardano within 6 months. Learn quickly from early adopters what's needed.,"https://thedevelopermarketplace.com/

https://thedevelopermarketplace.com/open-source-experiential-learning/",
18/Aug/20 1:52 AM,317074,175,Discuss,Andrii Voloshyn,Fund1 Challenge,Previous funds,0,0,0,6,Cardano Media Projects,"There is a problem with media in general, and with crypto-media in particular. A lot of fake news, biases, lack of research, etc.","cardano,ada,adoption,media,governance,video",http://ideascale.com/t/UM5UZBYM6,"https://cardano.ideascale.com/a/idea/317074/30950/download, https://cardano.ideascale.com/a/idea/317074/31214/download",,no contributors,,,,0.00,0%,0%,0%,13/Sep/20,false,105839 ADA (which equals 15K USD at the moment of submission),"Honoring the tradition in the Cardano ecosystem to give names of prominent people to projects, I propose 5 Projects, 5 shows, each will focus on a particular topic.  

Project Gaetano - On governance

Project Vilfredo - On tokenomics, cryptoeconomics and economic theory

Project Umberto - On dapps

Project CATO - On marketing strategies, ADA promotion, conversation with Ambassadors (CATO - Cardano Adoption Through Outreach)

Project Cosimo - On trading

  

  

Some of the programs will be broadcasted live (Cryptotexty youtube has over 1k subscribers so it's possible to stream live) while others will be recorded on Zoom and published later.

After some time, after the audience is built for each program and when there will be many live viewers - we will use the interactive mode more.

We will make a text version of each show.

Each publication will be also shared on 10+ crypto blog platforms with thousands of total views.

Video will be also published on LBRY, Dtube.

  

We will translate texts to Ukrainian and Russian. In Ukrainian text will be published on Cryptotexty.com Ukrainian site + Hive + occasionally. on lb.ua (one of the top local sites) and dt.ua

In Russian text will be published on Hub Forklog (one of the top crypto media in the region) + Hive

We will think about other translations (Japanese, French, Italian, Spanish)

We will make at least 2 programs a week, hopefully more.

We will align the programs with live meetups when possible and will continue the work towards the creation of Cardano Hub (where media studio will be part of it).

  

My video presentation of crypto-background and why I'm interested in Cardano ecosystem

https://www.youtube.com/watch?v=1vEaYNqzn1s&t","Create and distribute content - video programs, and then text versions based on them.",I have 3+ years of experience in creating crypto-related content (text and video program) and managing small crypto media.,https://cryptotexty.io/
18/Aug/20 12:45 AM,317064,173,Discuss,clumsysaint,Fund1 Challenge,Previous funds,0,0,0,5,Music video,"To educate and inform the masses about what Cardano is really about; pushing power to the edges, in a format everyone understands, music.","brand-recognition,community,media,nft",http://ideascale.com/t/UM5UZBYMw,NO,,no contributors,,,,0.00,0%,0%,0%,13/Sep/20,false,250000,"• Storyline out a song\\lyrics focusing on the ""push power to the edges"" mantra

• Work with Revolution Engine, a band that has a very clear vision, values and message to educate the world on social issues. Revolution Engine does not write songs about sex, drugs and rock and roll, it's mission is to inspire others to "" RISE ABOVE, NOT AGAINST. Think Rage Against the Machine without the political leanings, rather social awareness and inspiration.

• Revolution Engine has been around for over a decade with two albums under their belts available on all platforms, check them out on Google Play: https://play.google.com/store/music/artist/Revolution_Engine?id=Amegi7qjbas7n32dpkadrd63j3m&hl=en

• Hire proper media team (crowd source from the community if possible) to create compelling visuals as to the importance of Cardano's mission to bring open, decentralized access to manage identity, value and governance to the billions impoverished and excluded majority of people and the FREEDOM that will bring from poverty and oppression.

• Build a social campaign to take the video as viral as we can get it utilizing the current Cardano community, the larger crypto community and then out from there on established social mediums like Twitter, Facebook etc.

• Register and submit the song and video to music platforms to increase to draw into the community.","Write and produce high quality music video, hire media team to produce and use social mediums and social movements to grow our community","Vocalist for Revolution Engine, been doing message based music for a decade now and heavily involved in music scene and music production",http://revolutionenginemusic.com/
18/Aug/20 12:34 AM,317062,171,Assess,clumsysaint,Fund1 Challenge,Previous funds,0,0,0,4,Founding principles of Cardano,"\*Not for funding\*

Decision making. Our decision making should be rooted in what brought us all here, the founding principles of Cardano.",principles,http://ideascale.com/t/UM5UZBYMu,NO,,no contributors,,,,0.00,0%,0%,0%,02/Sep/20,false,,Someone at IOG needs to clarify those to us so that we can both use them to define this process but also do we can translate them to markets\\devs\\users is ways that are meaningful and inviting to those groups.,Compile the principles the project was founded on with simple but intelligently written explanations that help guide the decision process,"Have studied company culture as part of my role as CEO, understanding the motivations and principles behind groups and companies",
17/Aug/20 10:27 PM,317032,169,Assess,clumsysaint,Fund1 Challenge,Previous funds,0,0,0,1,Decentralized Facebook,\*\*Not for further review\*\*,community,http://ideascale.com/t/UM5UZBYMP,NO,,no contributors,,,,0.00,0%,0%,0%,02/Sep/20,false,,,\*\*Not for further review\*\*,\*\*Not for further review\*\*,
17/Aug/20 7:54 PM,317000,166,Discuss,Umed--[SKY] SkyLight Pool,Fund1 Challenge,Previous funds,0,0,0,30,Crypto Finance Podcast,This proposal is motivated by Charles Hoskinson's recent call for action to create a set of specialized podcasts for Cardano.,"podcast,finance,cardano",http://ideascale.com/t/UM5UZBYLt,NO,,no contributors,,,,0.00,0%,0%,0%,13/Sep/20,false,USD15K,"The plan is to launch a podcast that will focus on crypto markets, in-depth research of Cardano itself and the digital assets that will live on the platform. We will cover markets, produce high-quality content that will set a higher bar for crypto analysis than what exists today.

Through my extensive professional network in finance, I plan to invite prominent figures from the traditional world of finance who are looking into the space and flesh out ways we could remove roadblocks to adoption.

Capital inflows from the traditional financial system are a crucial part of growth for Cardano as it gains prominence in the world. To do that effectively we need to increase our visibility by highlighting the true capabilities of the platform. That requires nuanced approach to analysis and investment discussions.

Through this podcast we can narrow the gap that exists between the traditional finance and crypto and ultimately remove the mental roadblocks that hinder crypto adoption in the financial world.

The show will have a couple of segments and would also cater to already existing audience in crypto, focusing on markets, technical + fundamental analysis of digital assets on Cardano.",The aim of the project is to create a high-quality Cardano podcast that bridges the gap btw trad. finance and crypto.,"I have 10+ years of investing experience and have written numerous high-quality analytical pieces on Cardano, which were well received.",
